"2204229661","090095","8","EUR","HLT","",
"2204229710","090095","8","EUR","HLT","",
"2204229811","090095","8","EUR","HLT","",
"2204229861","090095","8","EUR","HLT","",
"2204299310","090095","8","EUR","HLT","",
"2204299411","090095","8","EUR","HLT","",
"2204299461","090095","8","EUR","HLT","",
"2204299510","090095","8","EUR","HLT","",
"2204299611","090095","8","EUR","HLT","",
"2204299661","090095","8","EUR","HLT","",
"2204299710","090095","8","EUR","HLT","",
"2204299811","090095","8","EUR","HLT","",
"2204299861","090095","8","EUR","HLT","",
"2205901000","090098","7","EUR","HLT","",
"2302301000","090072","30.6","EUR","TNE","",
"2302309000","090072","30.6","EUR","TNE","",
"2302401000","090072","62.25","EUR","TNE","",
"2302409000","090072","62.25","EUR","TNE","",
"2309903100","090073","7","","","",
"2309904100","090073","7","","","",
"2309905100","090073","7","","","",
"2309903100","090070","7","","","",
"2309904100","090070","7","","","",
"2309905100","090070","7","","","",
"2309909500","090070","7","","","",
"2309909900","090070","7","","","",
"2309101300","090089","7","","","",
"2309101500","090089","7","","","",
"2309101900","090089","7","","","",
"2309103300","090089","7","","","",
"2309103900","090089","7","","","",
"2309105100","090089","7","","","",
"2309105300","090089","7","","","",
"2309105900","090089","7","","","",
"2309107000","090089","7","","","",
"0302310000","090008","0","","","",
"0302320000","090008","0","","","",
"0302330000","090008","0","","","",
"0302340000","090008","0","","","",
"0302351000","090008","0","","","",
"0302359000","090008","0","","","",
"0302360000","090008","0","","","",
"0302390000","090008","0","","","",
"0303410000","090008","0","","","",
"0303420000","090008","0","","","",
"0303430000","090008","0","","","",
"0303440000","090008","0","","","",
"0303451000","090008","0","","","",
"0303459000","090008","0","","","",
"0303460000","090008","0","","","",
"0303490000","090008","0","","","",
"0302410000","090006","0","","","",
"0303510000","090006","0","","","",
"0304595000","090006","0","","","",
"0304599000","090006","0","","","",
"0304992300","090006","0","","","",
"0302541900","090009","8","","","",
"0303661900","090009","8","","","",
"0305511000","090007","0","","","",
"0305519000","090007","0","","","",
"0305531000","090007","0","","","",
"0305620000","090007","0","","","",
"0305691000","090007","0","","","",
"0305720000","090007","0","","","",
"0305790000","090007","0","","","",
"1604205000","090707","0","","","",
"1604205000","090706","0","","","",
"1605211000","090047","0","","","",
"1605219000","090047","0","","","",
"1605290000","090047","0","","","",
"1605400000","090046","0","","","",
"4412390000","090013","0","","","",
"4412998500","090013","0","","","",
"7202491000","090023","0","","","",
"7202495000","090023","0","","","",
"1604142800","098700","0","","","",
"1604142100","098701","0","","","",
"1604143800","098702","0","","","",
"0304899010","098703","0","","","",
"0304899020","098703","0","","","",
"0304899030","098703","0","","","",
"0304899040","098703","0","","","",
"0304899050","098703","0","","","",
"0304899060","098703","0","","","",
"0304899090","098703","0","","","",
"0306179290","098704","0","","","",
"0306179990","098705","0","","","",
"1604144110","098706","0","","","",
"1604144120","098706","0","","","",
"1604144130","098706","0","","","",
"1604144190","098706","0","","","",
"0303899010","098707","0","","","",
"0303899020","098707","0","","","",
"0303899030","098707","0","","","",
"0303899090","098707","0","","","",
"1604143100","098708","0","","","",
"1604144810","098709","0","","","",
"1604144820","098709","0","","","",
"1604144830","098709","0","","","",
"1604144890","098709","0","","","",
"0201100000","097701","0","","","",
"0201202000","097701","0","","","",
"0201203000","097701","0","","","",
"0201205000","097701","0","","","",
"0201209000","097701","0","","","",
"0201300000","097701","0","","","",
"0206109500","097701","0","","","",
"0202100000","097702","0","","","",
"0202201000","097702","0","","","",
"0202203000","097702","0","","","",
"0202205000","097702","0","","","",
"0202209000","097702","0","","","",
"0202301000","097702","0","","","",
"0202305000","097702","0","","","",
"0202309000","097702","0","","","",
"0206299100","097702","0","","","",
"0210201000","097703","0","","","",
"0210209000","097703","0","","","",
"0210995100","097703","0","","","",
"0210995900","097703","0","","","",
"1602501000","097703","0","","","",
"1602503100","097703","0","","","",
"1602509500","097703","0","","","",
"0207111000","097704","0","","","",
"0207113000","097704","0","","","",
"0207119000","097704","0","","","",
"0207131000","097704","0","","","",
"0207132000","097704","0","","","",
"0207133000","097704","0","","","",
"0207134000","097704","0","","","",
"0207135000","097704","0","","","",
"0207136000","097704","0","","","",
"0207137000","097704","0","","","",
"0207121000","097705","0","","","",
"0207129000","097705","0","","","",
"0207141000","097705","0","","","",
"0207142000","097705","0","","","",
"0207143000","097705","0","","","",
"0207144000","097705","0","","","",
"0207145000","097705","0","","","",
"0207146000","097705","0","","","",
"0207147000","097705","0","","","",
"0210993900","097706","0","","","",
"1602311100","097706","0","","","",
"1602311900","097706","0","","","",
"1602318000","097706","0","","","",
"1602321100","097706","0","","","",
"1602321900","097706","0","","","",
"1602323000","097706","0","","","",
"1602329000","097706","0","","","",
"1602392100","097706","0","","","",
"1602392900","097706","0","","","",
"1602398500","097706","0","","","",
"0207441000","097707","0","","","",
"0207442100","097707","0","","","",
"0207445100","097707","0","","","",
"0207446100","097707","0","","","",
"0207447100","097707","0","","","",
"0207448100","097707","0","","","",
"0207412000","097708","0","","","",
"0207413000","097708","0","","","",
"0207418000","097708","0","","","",
"0207423000","097708","0","","","",
"0207428000","097708","0","","","",
"0207451000","097708","0","","","",
"0207452100","097708","0","","","",
"0207453100","097708","0","","","",
"0207454100","097708","0","","","",
"0207455100","097708","0","","","",
"0207456100","097708","0","","","",
"0207457100","097708","0","","","",
"0207458100","097708","0","","","",
"0207241000","097709","0","","","",
"0207249000","097709","0","","","",
"0207261000","097709","0","","","",
"0207262000","097709","0","","","",
"0207263000","097709","0","","","",
"0207264000","097709","0","","","",
"0207265000","097709","0","","","",
"0207266000","097709","0","","","",
"0207267000","097709","0","","","",
"0207268000","097709","0","","","",
"0207269100","097709","0","","","",
"0207269900","097709","0","","","",
"0207251000","097710","0","","","",
"0207259000","097710","0","","","",
"0207271000","097710","0","","","",
"0207272000","097710","0","","","",
"0207273000","097710","0","","","",
"0207274000","097710","0","","","",
"0207275000","097710","0","","","",
"0207276000","097710","0","","","",
"0207277000","097710","0","","","",
"0207278000","097710","0","","","",
"1006302100","097711","0","","","",
"1006302300","097711","0","","","",
"1006302500","097711","0","","","",
"1006304200","097711","0","","","",
"1006304400","097711","0","","","",
"1006304600","097711","0","","","",
"1006306100","097711","0","","","",
"1006306300","097711","0","","","",
"1006306500","097711","0","","","",
"1006309200","097711","0","","","",
