"measure.sid","measure.type","geographical.area","goods.nomenclature.item.id","validity.start.date","validity.end.date","update.type"
"5139426","103","1011","0101210000","2019-03-30","","3"
"5139428","105","1011","0101291000","2019-03-30","","3"
"5139429","103","1011","0101299000","2019-03-30","","3"
"5139430","103","1011","0101300000","2019-03-30","","3"
"5139431","103","1011","0101900000","2019-03-30","","3"
"5139435","103","1011","0102211000","2019-03-30","","3"
"5139436","103","1011","0102213000","2019-03-30","","3"
"5139437","103","1011","0102219000","2019-03-30","","3"
"5139439","103","1011","0102290500","2019-03-30","","3"
"5139442","103","1011","0102291010","2019-03-30","","3"
"5139443","103","1011","0102291020","2019-03-30","","3"
"5139444","103","1011","0102291030","2019-03-30","","3"
"5139445","103","1011","0102291040","2019-03-30","","3"
"5139446","103","1011","0102291050","2019-03-30","","3"
"5139447","103","1011","0102291090","2019-03-30","","3"
"5139449","103","1011","0102292100","2019-03-30","","3"
"5139451","103","1011","0102292910","2019-03-30","","3"
"5139452","103","1011","0102292920","2019-03-30","","3"
"5139453","103","1011","0102292930","2019-03-30","","3"
"5139454","103","1011","0102292940","2019-03-30","","3"
"5139455","103","1011","0102292950","2019-03-30","","3"
"5139456","103","1011","0102292990","2019-03-30","","3"
"5139458","103","1011","0102294100","2019-03-30","","3"
"5139460","103","1011","0102294910","2019-03-30","","3"
"5139461","103","1011","0102294920","2019-03-30","","3"
"5139462","103","1011","0102294930","2019-03-30","","3"
"5139463","103","1011","0102294940","2019-03-30","","3"
"5139464","103","1011","0102294950","2019-03-30","","3"
"5139465","103","1011","0102294990","2019-03-30","","3"
"5139469","103","1011","0102295110","2019-03-30","","3"
"5139470","103","1011","0102295190","2019-03-30","","3"
"5139473","103","1011","0102295911","2019-03-30","","3"
"5139474","103","1011","0102295919","2019-03-30","","3"
"5139476","103","1011","0102295921","2019-03-30","","3"
"5139477","103","1011","0102295929","2019-03-30","","3"
"5139479","103","1011","0102295931","2019-03-30","","3"
"5139480","103","1011","0102295939","2019-03-30","","3"
"5139482","103","1011","0102295991","2019-03-30","","3"
"5139483","103","1011","0102295999","2019-03-30","","3"
"5139485","103","1011","0102296100","2019-03-30","","3"
"5139487","103","1011","0102296910","2019-03-30","","3"
"5139488","103","1011","0102296920","2019-03-30","","3"
"5139489","103","1011","0102296930","2019-03-30","","3"
"5139490","103","1011","0102296990","2019-03-30","","3"
"5139493","103","1011","0102299110","2019-03-30","","3"
"5139494","103","1011","0102299190","2019-03-30","","3"
"5139497","103","1011","0102299921","2019-03-30","","3"
"5139498","103","1011","0102299929","2019-03-30","","3"
"5139500","103","1011","0102299991","2019-03-30","","3"
"5139501","103","1011","0102299999","2019-03-30","","3"
"5139503","103","1011","0102310000","2019-03-30","","3"
"5139506","103","1011","0102391010","2019-03-30","","3"
"5139507","103","1011","0102391090","2019-03-30","","3"
"5139508","103","1011","0102399000","2019-03-30","","3"
"5139510","103","1011","0102902000","2019-03-30","","3"
"5139513","103","1011","0102909110","2019-03-30","","3"
"5139514","103","1011","0102909190","2019-03-30","","3"
"5139515","103","1011","0102909900","2019-03-30","","3"
"5139517","103","1011","0103100000","2019-03-30","","3"
"5139520","103","1011","0103911000","2019-03-30","","3"
"5139521","103","1011","0103919000","2019-03-30","","3"
"5139524","103","1011","0103921100","2019-03-30","","3"
"5139525","103","1011","0103921900","2019-03-30","","3"
"5139526","103","1011","0103929000","2019-03-30","","3"
"5139529","103","1011","0104101000","2019-03-30","","3"
"5139531","103","1011","0104103000","2019-03-30","","3"
"5139532","103","1011","0104108000","2019-03-30","","3"
"5139534","103","1011","0104201000","2019-03-30","","3"
"5139535","103","1011","0104209000","2019-03-30","","3"
