"goods_nomenclature_sid";"goods_nomenclature_item_id";"producline_suffix";"validity_start_date";"leaf";"number_indents"
27770;"0103921100";"80";"1972-01-01 00:00:00";"1";4
27771;"0103921900";"80";"1972-01-01 00:00:00";"1";4
27772;"0103929000";"80";"1972-01-01 00:00:00";"1";3
27773;"0104000000";"80";"1972-01-01 00:00:00";"0";0
27774;"0104100000";"80";"1972-01-01 00:00:00";"0";1
27775;"0104101000";"80";"1972-01-01 00:00:00";"1";2
27776;"0104103000";"10";"1993-01-01 00:00:00";"0";2
27777;"0104103000";"80";"1993-01-01 00:00:00";"1";3
27778;"0104108000";"80";"1993-01-01 00:00:00";"1";3
27780;"0104200000";"80";"1972-01-01 00:00:00";"0";1
27781;"0104201000";"80";"1972-01-01 00:00:00";"1";2
27782;"0104209000";"80";"1972-01-01 00:00:00";"1";2
27783;"0105000000";"80";"1972-01-01 00:00:00";"0";0
27784;"0105110000";"10";"1972-01-01 00:00:00";"0";1
27785;"0105110000";"80";"1972-01-01 00:00:00";"0";2
27786;"0105111100";"10";"1993-01-01 00:00:00";"0";3
27787;"0105111100";"80";"1993-01-01 00:00:00";"1";4
27788;"0105111900";"80";"1993-01-01 00:00:00";"1";4
27789;"0105119100";"10";"1993-01-01 00:00:00";"0";3
27790;"0105119100";"80";"1993-01-01 00:00:00";"1";4
27791;"0105119900";"80";"1993-01-01 00:00:00";"1";4
59201;"0105120000";"80";"1996-01-01 00:00:00";"1";2
94185;"0105130000";"80";"2012-01-01 00:00:00";"1";2
94186;"0105140000";"80";"2012-01-01 00:00:00";"1";2
94187;"0105150000";"80";"2012-01-01 00:00:00";"1";2
85304;"0105940000";"10";"2007-01-01 00:00:00";"0";1
85305;"0105940000";"80";"2007-01-01 00:00:00";"1";2
27797;"0105990000";"80";"1972-01-01 00:00:00";"0";2
27798;"0105991000";"80";"1972-01-01 00:00:00";"1";3
27799;"0105992000";"80";"1972-01-01 00:00:00";"1";3
27800;"0105993000";"80";"1972-01-01 00:00:00";"1";3
27801;"0105995000";"80";"1972-01-01 00:00:00";"1";3
27802;"0106000000";"80";"1972-01-01 00:00:00";"0";0
72769;"0106110000";"10";"2002-01-01 00:00:00";"0";1
72770;"0106110000";"80";"2002-01-01 00:00:00";"1";2
72771;"0106120000";"80";"2002-01-01 00:00:00";"1";2
94188;"0106130000";"80";"2012-01-01 00:00:00";"1";2
94189;"0106140000";"80";"2012-01-01 00:00:00";"0";2
94190;"0106141000";"80";"2012-01-01 00:00:00";"1";3
94191;"0106149000";"80";"2012-01-01 00:00:00";"1";3
72772;"0106190000";"80";"2002-01-01 00:00:00";"1";2
72775;"0106200000";"80";"2002-01-01 00:00:00";"1";1
72776;"0106310000";"10";"2002-01-01 00:00:00";"0";1
72777;"0106310000";"80";"2002-01-01 00:00:00";"1";2
72778;"0106320000";"80";"2002-01-01 00:00:00";"1";2
94192;"0106330000";"80";"2012-01-01 00:00:00";"1";2
72779;"0106390000";"80";"2002-01-01 00:00:00";"0";2
72780;"0106391000";"80";"2002-01-01 00:00:00";"1";3
94193;"0106398000";"80";"2012-01-01 00:00:00";"1";3
94194;"0106410000";"10";"2012-01-01 00:00:00";"0";1
94195;"0106410000";"80";"2012-01-01 00:00:00";"1";2
94196;"0106490000";"80";"2012-01-01 00:00:00";"1";2
72782;"0106900000";"80";"2002-01-01 00:00:00";"1";1
27809;"0200000000";"80";"1971-12-31 00:00:00";"0";0
27810;"0201000000";"80";"1972-01-01 00:00:00";"0";0
27811;"0201100000";"80";"1972-01-01 00:00:00";"0";1
104276;"0201100021";"10";"2017-09-21 00:00:00";"0";2
104254;"0201100021";"80";"2017-09-21 00:00:00";"1";3
104255;"0201100029";"80";"2017-09-21 00:00:00";"1";3
104272;"0201100092";"10";"2017-09-21 00:00:00";"0";2
104271;"0201100092";"20";"2017-09-21 00:00:00";"0";3
104260;"0201100092";"80";"2017-09-21 00:00:00";"1";4
104262;"0201100094";"80";"2017-09-21 00:00:00";"1";4
104275;"0201100097";"10";"2017-09-21 00:00:00";"0";3
104273;"0201100097";"80";"2017-09-21 00:00:00";"1";4
104274;"0201100098";"80";"2017-09-21 00:00:00";"1";4
27824;"0201200000";"80";"1972-01-01 00:00:00";"0";1
27835;"0201202000";"80";"1993-01-01 00:00:00";"0";2
104282;"0201202021";"10";"2017-09-21 00:00:00";"0";3
104280;"0201202021";"80";"2017-09-21 00:00:00";"1";4
104281;"0201202029";"80";"2017-09-21 00:00:00";"1";4
104287;"0201202092";"10";"2017-09-21 00:00:00";"0";3
104288;"0201202092";"20";"2017-09-21 00:00:00";"0";4
104289;"0201202092";"80";"2017-09-21 00:00:00";"1";5
104290;"0201202094";"80";"2017-09-21 00:00:00";"1";5
104294;"0201202097";"10";"2017-09-21 00:00:00";"0";4
104296;"0201202097";"80";"2017-09-21 00:00:00";"1";5
104297;"0201202098";"80";"2017-09-21 00:00:00";"1";5
27849;"0201203000";"80";"1993-01-01 00:00:00";"0";2
104301;"0201203021";"10";"2017-09-21 00:00:00";"0";3
104303;"0201203021";"80";"2017-09-21 00:00:00";"1";4
104304;"0201203029";"80";"2017-09-21 00:00:00";"1";4
104362;"0201203092";"10";"2017-09-21 00:00:00";"0";3
104363;"0201203092";"20";"2017-09-21 00:00:00";"0";4
104364;"0201203092";"80";"2017-09-21 00:00:00";"1";5
104365;"0201203094";"80";"2017-09-21 00:00:00";"1";5
104366;"0201203097";"10";"2017-09-21 00:00:00";"0";4
104368;"0201203097";"80";"2017-09-21 00:00:00";"1";5
104367;"0201203098";"80";"2017-09-21 00:00:00";"1";5
27863;"0201205000";"80";"1993-01-01 00:00:00";"0";2
104434;"0201205021";"10";"2017-09-21 00:00:00";"0";3
104435;"0201205021";"80";"2017-09-21 00:00:00";"1";4
104436;"0201205029";"80";"2017-09-21 00:00:00";"1";4
104437;"0201205092";"10";"2017-09-21 00:00:00";"0";3
104438;"0201205092";"20";"2017-09-21 00:00:00";"0";4
104439;"0201205092";"80";"2017-09-21 00:00:00";"1";5
104440;"0201205094";"80";"2017-09-21 00:00:00";"1";5
104441;"0201205097";"10";"2017-09-21 00:00:00";"0";4
104442;"0201205097";"80";"2017-09-21 00:00:00";"1";5
104443;"0201205098";"80";"2017-09-21 00:00:00";"1";5
27879;"0201209000";"80";"1972-01-01 00:00:00";"0";2
104445;"0201209011";"10";"2017-09-21 00:00:00";"0";3
104446;"0201209011";"80";"2017-09-21 00:00:00";"1";4
104448;"0201209015";"80";"2017-09-21 00:00:00";"1";4
104449;"0201209091";"10";"2017-09-21 00:00:00";"0";3
104447;"0201209091";"80";"2017-09-21 00:00:00";"1";4
104451;"0201209099";"80";"2017-09-21 00:00:00";"1";4
27882;"0201300000";"80";"1972-01-01 00:00:00";"0";1
104452;"0201300031";"10";"2017-09-21 00:00:00";"0";2
104453;"0201300031";"80";"2017-09-21 00:00:00";"1";3
