"measure.sid","duty.expression.id","duty.amount","update.type"
"3647815","01","268.0","2"
"3647816","01","389.0","2"
"3647817","01","300.0","2"
"3647818","01","300.0","2"
"3647819","01","434.0","2"
"3647820","01","233.0","2"
"3647821","01","300.0","2"
"3647822","01","434.0","2"
"3647823","01","434.0","2"
"3647824","01","434.0","2"
"3647825","01","434.0","2"
"3647826","01","434.0","2"
"3647827","01","268.0","2"
"3647828","01","389.0","2"
"3647829","01","300.0","2"
"3647830","01","300.0","2"
"3647831","01","434.0","2"
"3647832","01","233.0","2"
"3647833","01","434.0","2"
"3647834","01","434.0","2"
"3647835","01","300.0","2"
"3647836","01","434.0","2"
"3647837","01","434.0","2"
"3647838","01","434.0","2"
"3647839","01","747.0","2"
"3647840","01","502.0","2"
"3647841","01","784.0","2"
"3647842","01","646.0","2"
"3647843","01","784.0","2"
"3647844","01","646.0","2"
"3647845","01","646.0","2"
"3647846","01","428.0","2"
"3647847","01","375.0","2"
"3647848","01","271.0","2"
"3647934","01","16.0","2"
"3647934","04","582.0","2"
"3647935","01","16.0","2"
"3647935","04","582.0","2"
"3647936","01","16.0","2"
"3647936","04","582.0","2"
"3647937","01","6.0","2"
"3647938","01","6.0","2"
"3647939","01","6.0","2"
"3647940","01","6.0","2"
"3647941","01","6.0","2"
"3647942","01","6.0","2"
"3647943","01","6.0","2"
"3647944","01","6.0","2"
"3647945","01","6.0","2"
"3647946","01","6.0","2"
"3647947","01","6.0","2"
"3647948","01","6.0","2"
"3647949","01","4.0","2"
"3647950","01","4.0","2"
"3647951","01","4.0","2"
"3647952","01","4.0","2"
"3647953","01","4.0","2"
"3647954","01","4.0","2"
"3647955","01","4.0","2"
"3647956","01","4.0","2"
"3647957","01","4.0","2"
"3647958","01","4.0","2"
"3647959","01","4.0","2"
"3647960","01","4.0","2"
"3647961","01","4.0","2"
"3647962","01","4.0","2"
"3647963","01","4.0","2"
"3647964","01","4.0","2"
"3647965","01","4.0","2"
"3648008","01","0.0","2"
"3648025","01","0.0","2"
"3648041","01","0.0","2"
"3648155","01","0.0","2"
"3648156","01","0.0","2"
"3648157","01","0.0","2"
"3648158","01","0.0","2"
"3648159","01","0.0","2"
"3648160","01","0.0","2"
"3648237","01","0.0","2"
"3648244","01","0.0","2"
"3648251","01","0.0","2"
"3648258","01","0.0","2"
"3648265","01","0.0","2"
"3648272","01","0.0","2"
"3648468","01","0.0","2"
"3648469","01","0.0","2"
"3648470","01","0.0","2"
"3648471","01","0.0","2"
"3648472","01","0.0","2"
"3648473","01","0.0","2"
"3648484","01","0.0","2"
"3648485","01","0.0","2"
"3648486","01","0.0","2"
"3648487","01","0.0","2"
"3648488","01","0.0","2"
"3648489","01","0.0","2"
"3648545","01","0.0","2"
"3648546","01","0.0","2"
"3648547","01","0.0","2"
"3648636","01","0.0","2"
"3648637","01","0.0","2"
"3648638","01","0.0","2"
"3648639","01","0.0","2"
"3648640","01","0.0","2"
"3648641","01","0.0","2"
"3648819","01","0.0","2"
"3648820","01","0.0","2"
"3648821","01","0.0","2"
"3648822","01","0.0","2"
"3648823","01","0.0","2"
"3648824","01","0.0","2"
"3648921","01","0.0","2"
"3648922","01","0.0","2"
"3648923","01","0.0","2"
"3648924","01","0.0","2"
"3648925","01","0.0","2"
"3648926","01","0.0","2"
"3649259","01","0.0","2"
"3649260","01","0.0","2"
"3649261","01","0.0","2"
"3649262","01","0.0","2"
"3649263","01","0.0","2"
"3649264","01","0.0","2"
"3649423","01","0.0","2"
"3649424","01","0.0","2"
"3649425","01","0.0","2"
"3649426","01","0.0","2"
"3649427","01","0.0","2"
"3649428","01","0.0","2"
"3649538","01","0.0","2"
"3649539","01","0.0","2"
"3649540","01","0.0","2"
"3649541","01","0.0","2"
"3649542","01","0.0","2"
"3649543","01","0.0","2"
"3649721","01","0.0","2"
"3649722","01","0.0","2"
"3649723","01","0.0","2"
"3649724","01","0.0","2"
"3649725","01","0.0","2"
"3649726","01","0.0","2"
"3649935","01","0.0","2"
"3649936","01","0.0","2"
"3649937","01","0.0","2"
"3649938","01","0.0","2"
"3649939","01","0.0","2"
"3649940","01","0.0","2"
"3650120","01","0.0","2"
"3650121","01","0.0","2"
"3650122","01","0.0","2"
"3650123","01","0.0","2"
"3650124","01","0.0","2"
"3650125","01","0.0","2"
"3650248","01","0.0","2"
"3650249","01","0.0","2"
"3650250","01","0.0","2"
"3650251","01","0.0","2"
"3650252","01","0.0","2"
"3650253","01","0.0","2"
"3651339","01","0.0","2"
"3651340","01","0.0","2"
"3651341","01","0.0","2"
"3651342","01","0.0","2"
"3651343","01","0.0","2"
"3651344","01","0.0","2"
