Commodity,Suffix,Start,End,Description,Indents
40856,5000000000,80,1971-12-31 00:00:00,,SILK
40859,5003000000,80,1972-01-01 00:00:00,,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock)"
40862,5004000000,80,1972-01-01 00:00:00,,Silk yarn (other than yarn spun from silk waste) not put up for retail sale
40863,5004001000,80,1972-01-01 00:00:00,,"Unbleached, scoured or bleached"
40869,5005000000,80,1972-01-01 00:00:00,,"Yarn spun from silk waste, not put up for retail sale"
40870,5005001000,80,1972-01-01 00:00:00,,"Unbleached, scoured or bleached"
40873,5005009000,80,1972-01-01 00:00:00,,Other
40876,5006000000,80,1972-01-01 00:00:00,,"Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut"
40879,5007000000,80,1972-01-01 00:00:00,,Woven fabrics of silk or of silk waste
40880,5007100000,80,1972-01-01 00:00:00,,Fabrics of noil silk
40886,5007200000,80,1972-01-01 00:00:00,,"Other fabrics, containing 85|% or more by weight of silk or of silk waste other than noil silk"
40893,5007201100,10,1994-01-01 00:00:00,,Crêpes
40894,5007201100,80,1994-01-01 00:00:00,,"Unbleached, scoured or bleached"
40899,5007201900,80,1994-01-01 00:00:00,,Other
40904,5007202100,10,1972-01-01 00:00:00,,"Pongee, habutai, honan, shantung, corah and similar far eastern fabrics, wholly of silk (not mixed with noil or other silk waste or with other textile materials)"
40905,5007202100,80,1972-01-01 00:00:00,,"Plain-woven, unbleached or not further processed than scoured"
40911,5007203100,10,1972-01-01 00:00:00,,Other
40912,5007203100,80,1972-01-01 00:00:00,,Plain-woven
40915,5007203900,80,1972-01-01 00:00:00,,Other
40918,5007204100,10,1972-01-01 00:00:00,,Other
40919,5007204100,80,1972-01-01 00:00:00,,Diaphanous fabrics (open weave)
40922,5007205100,10,1972-01-01 00:00:00,,Other
40923,5007205100,80,1972-01-01 00:00:00,,"Unbleached, scoured or bleached"
40926,5007205900,80,1972-01-01 00:00:00,,Dyed
40929,5007206100,10,1972-01-01 00:00:00,,Of yarns of different colours
40857,5001000000,80,1972-01-01 00:00:00,,Silkworm cocoons suitable for reeling
40930,5007206100,80,1972-01-01 00:00:00,,Of a width exceeding 57|cm but not exceeding 75|cm
40933,5007206900,80,1972-01-01 00:00:00,,Other
40936,5007207100,80,1972-01-01 00:00:00,,Printed
40939,5007900000,80,1972-01-01 00:00:00,,Other fabrics
