Commodity,Suffix,Start,End,Description,Indents
43279,6204310000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
43281,6204321000,80,1972-01-01 00:00:00,,Industrial and occupational
43283,6204329010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43284,6204329090,80,1972-01-01 00:00:00,,Other
43286,6204331000,80,1972-01-01 00:00:00,,Industrial and occupational
43287,6204339000,80,1972-01-01 00:00:00,,Other
43290,6204391100,80,1972-01-01 00:00:00,,Industrial and occupational
43291,6204391900,80,1972-01-01 00:00:00,,Other
43293,6204399010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43294,6204399090,80,1972-01-01 00:00:00,,Other
43296,6204410000,80,1972-01-01 00:00:00,,Of wool or fine animal hair
43298,6204420010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43299,6204420090,80,1972-01-01 00:00:00,,Other
43300,6204430000,80,1972-01-01 00:00:00,,Of synthetic fibres
43302,6204440010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43303,6204440090,80,1972-01-01 00:00:00,,Other
43312,6204510011,80,1972-01-01 00:00:00,,Hand-made
43313,6204510019,80,1972-01-01 00:00:00,,Other
43314,6204510090,80,1972-01-01 00:00:00,,Other
43316,6204520010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43317,6204520090,80,1972-01-01 00:00:00,,Other
43319,6204530010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43323,6204591010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43324,6204591090,80,1972-01-01 00:00:00,,Other
43326,6204599010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43327,6204599090,80,1972-01-01 00:00:00,,Other
43330,6204611000,80,1972-01-01 00:00:00,,Trousers and breeches
43335,6204621100,80,1972-01-01 00:00:00,,Industrial and occupational
43338,6204623110,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43339,6204623190,80,1972-01-01 00:00:00,,Other
43341,6204623310,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43342,6204623390,80,1972-01-01 00:00:00,,Other
43347,6204623910,80,1992-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43348,6204623990,80,1992-01-01 00:00:00,,Other
43350,6204625100,80,1972-01-01 00:00:00,,Industrial and occupational
43352,6204625910,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43353,6204625990,80,1972-01-01 00:00:00,,Other
43355,6204629010,80,1972-01-01 00:00:00,,"Hand-printed by the ""batik"" method"
43356,6204629090,80,1972-01-01 00:00:00,,Other
43359,6204631100,80,1972-01-01 00:00:00,,Industrial and occupational
