Commodity,Suffix,Start,End,Description,Indents
44408,7000000000,80,1971-12-31 00:00:00,,GLASS AND GLASSWARE
44409,7001000000,80,1972-01-01 00:00:00,,Cullet and other waste and scrap of glass; glass in the mass
44411,7001009100,10,1972-01-01 00:00:00,,Glass in the mass
44414,7002000000,80,1972-01-01 00:00:00,,"Glass in balls (other than microspheres of heading|7018), rods or tubes, unworked"
44416,7002200000,80,1972-01-01 00:00:00,,Rods
44419,7002310000,10,1972-01-01 00:00:00,,Tubes
44423,7003000000,80,1972-01-01 00:00:00,,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked"
44428,7003190000,80,1972-01-01 00:00:00,,Other
44435,7004000000,80,1972-01-01 00:00:00,,"Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked"
44441,7004900000,80,1972-01-01 00:00:00,,Other glass
44450,7005000000,80,1972-01-01 00:00:00,,"Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked"
44451,7005100000,80,1972-01-01 00:00:00,,"Non-wired glass, having an absorbent, reflecting or non-reflecting layer"
44460,7005210000,10,1972-01-01 00:00:00,,Other non-wired glass
44461,7005210000,80,1972-01-01 00:00:00,,"Coloured throughout the mass (body tinted), opacified, flashed or merely surface ground"
44468,7005290000,80,1972-01-01 00:00:00,,Other
44478,7006000000,80,1972-01-01 00:00:00,,"Glass of heading|7003, 7004|or 7005, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or fitted with other materials"
44480,7006009000,80,1972-01-01 00:00:00,,Other
44487,7007000000,80,1972-01-01 00:00:00,,"Safety glass, consisting of toughened (tempered) or laminated glass"
44488,7007110000,10,1972-01-01 00:00:00,,Toughened (tempered) safety glass
44489,7007110000,80,1972-01-01 00:00:00,,"Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
44492,7007190000,80,1972-01-01 00:00:00,,Other
44494,7007192000,80,1990-01-01 00:00:00,,"Coloured throughout the mass (body tinted), opacified, flashed or having an absorbent or reflecting layer"
44496,7007198000,80,1990-01-01 00:00:00,,Other
