UNB+XXIB:1+CEC/XXI/B5+               GB+16092018:2000+TARIC'
UNH+TGBGB18116+8116'
001605172643000+00000161103639823490   10110702000000           200620181R1708920200620181R170892000000040000030256                '
001605182243000+00000617303640614552   10118541409041B834       010720184R17157000000000000000000000000040000103306   12283        '
001605182343000+00000628303640646552   10118541409041B835       010720184R17157000000000000000000000000040000103306   12284        '
001605182443000+00000639303640678552   10118541409041B837       010720184R17157000000000000000000000000040000103306   12286        '
001605182543000+00000650303640710552   10118541409041B838       010720184R17157000000000000000000000000040000103306   12287        '
001605182643000+00000661303640742552   10118541409041B839       010720184R17157000000000000000000000000040000103306   12288        '
001605182743000+00000672303640774552   10118541409041B840       010720184R17157000000000000000000000000040000103306   12289        '
001605182843000+00000683303640806552   10118541409041B841       010720184R17157000000000000000000000000040000103306   12290        '
001605182943000+00000694303640838552   10118541409041B842       010720184R17157000000000000000000000000040000103306   12424        '
001605183043000+00000705303642694552   10118541409041B843       010720184R17157000000000000000000000000040000103306   12292        '
001605183143000+00000716303639741552   10118541409041B845       010720184R17157000000000000000000000000040000103306   12294        '
001605183243000+00000727303640870552   10118541409041B846       010720184R17157000000000000000000000000040000103306   12295        '
001605183343000+00000738303640902552   10118541409041B847       010720184R17157000000000000000000000000040000103306   12296        '
001605183443000+00000749303642726552   10118541409041B848       010720184R17157000000000000000000000000040000103306   12297        '
001605183543000+00000760303640934552   10118541409041B849       010720184R17157000000000000000000000000040000103306   12298        '
001605183643000+00000771303640966552   10118541409041B850       010720184R17157000000000000000000000000040000103306   12299        '
001605183743000+00000782303640998552   10118541409041B851       010720184R17157000000000000000000000000040000103306   12300        '
001605183843000+00000793303641030552   10118541409041B852       010720184R17157000000000000000000000000040000103306   12301        '
001605183943000+00000804303641062552   10118541409041B853       010720184R17157000000000000000000000000040000103306   12302        '
001605184043000+00000815303641094552   10118541409041B854       010720184R17157000000000000000000000000040000103306   12303        '
001605184143000+00000826303641126552   10118541409041B857       010720184R17157000000000000000000000000040000103306   12306        '
001605184243000+00000837303641158552   10118541409041B858       010720184R17157000000000000000000000000040000103306   12307        '
001605184343000+00000848303641190552   10118541409041B861       010720184R17157000000000000000000000000040000103306   12358        '
001605184443000+00000859303641222552   10118541409041B862       010720184R17157000000000000000000000000040000103306   12359        '
001605184543000+00000870303641254552   10118541409041B863       010720184R17157000000000000000000000000040000103306   12360        '
001605184643000+00000881303641286552   10118541409041B864       010720184R17157000000000000000000000000040000103306   12361        '
001605184743000+00000892303641318552   10118541409041B865       010720184R17157000000000000000000000000040000103306   12362        '
001605184843000+00000903303641350552   10118541409041B866       010720184R17157000000000000000000000000040000103306   12363        '
001605184943000+00000914303641382552   10118541409041B868       010720184R17157000000000000000000000000040000103306   12365        '
001605185043000+00000925303641414552   10118541409041B870       010720184R17157000000000000000000000000040000103306   12367        '
001605185143000+00000936303641446552   10118541409041B871       010720184R17157000000000000000000000000040000103306   12368        '
001605185243000+00000947303641478552   10118541409041B872       010720184R17157000000000000000000000000040000103306   12369        '
001605185343000+00000958303641510552   10118541409041B873       010720184R17157000000000000000000000000040000103306   12370        '
001605185443000+00000969303642758552   10118541409041B874       010720184R17157000000000000000000000000040000103306   12371        '
001605185543000+00000980303641542552   10118541409041B875       010720184R17157000000000000000000000000040000103306   12372        '
001605185643000+00000991303641574552   10118541409041B876       010720184R17157000000000000000000000000040000103306   12373        '
