Regulation ID,UK regulation ID
D010108
D020134
D020606
D030899
D040776
D060022
D060772
D080260
D090048
D090867
D110304
D110876
D140223
D152362
D170322
D180477
D970447
D980115
D980366
D980684
I040097
I050195
I060186
I090291
I990294
I990298
J170334
R090803
R111331
R120014
R130078
R130372
R130430
R130501
R130502
R130508
R130512
R130861
R130871
R130875
R131343
R140191
R140307
R140360
R140471
R140976
R140999
R141283
R141313
R141346
R150082
R150083
R150084
R150776
R150831
R151019
R151350
R151394
R151429
R151821
R151934
R151952
R151963
R152272
R152384
R152385
R160032
R160226
R160306
R160387
R160388
R160703
R160704
R161046
R161077
R161159
R161160
R161247
R170094
R170220
R170366
R170367
R170421
R170422
R170648
R170659
R170763
R170804
R170942
R171019
R171146
R171159
R171171
R171187
R171188
R171444
R171480
R171482
R171514
R171570
R171759
R171993
R171994
R171997
R172206
R172213
R172230
R180028
R180049
R180330
R180683
R180788
R180921
R180931
R181012
R181017
R181469
R181579
R181684
R190059
R190072
R190073
R190251
R190261
R190262
R970088
