0210921000,01,15.4,,,
0210929100,01,130,EUR,DTN,
0210929200,01,15.4,,,
0210929900,01,15.4,,,
0210929900,04,303.4,EUR,DTN,
0210992100,01,222.7,EUR,DTN,
0210992900,01,311.8,EUR,DTN,
0210993900,01,130,EUR,DTN,
0210995100,01,15.4,,,
0210995100,04,303.4,EUR,DTN,
0210995900,01,12.8,,,
0303250000,01,8,,,
0303891000,01,8,,,
0303892100,01,0,,,
0303892900,01,22,,,
0303893100,01,7.5,,,
0303893900,01,7.5,,,
0303894000,01,0,,,
0303895000,01,15,,,
0303895500,01,15,,,
0303896000,01,15,,,
0303896500,01,15,,,
0303897000,01,7.5,,,
0303899000,01,15,,,
0304390000,01,9,,,
0304891000,01,9,,,
0304892100,01,7.5,,,
0304892900,01,7.5,,,
0304893000,01,18,,,
0304894100,01,15,,,
0304894900,01,15,,,
0304896000,01,15,,,
0304899000,01,15,,,
0306179100,01,12,,,
0306179200,01,12,,,
0306179300,01,12,,,
0306179400,01,12,,,
0306179900,01,12,,,
0306191000,01,7.5,,,
0306199000,01,12,,,
0406103000,01,185.2,EUR,DTN,
0406105000,01,185.2,EUR,DTN,
0406108000,01,221.2,EUR,DTN,
0406401000,01,140.9,EUR,DTN,
0406405000,01,140.9,EUR,DTN,
0406409000,01,140.9,EUR,DTN,
0406900100,01,167.1,EUR,DTN,
0406901300,01,171.7,EUR,DTN,
0406901500,01,171.7,EUR,DTN,
0406901700,01,171.7,EUR,DTN,
0406901800,01,171.7,EUR,DTN,
0406902100,01,167.1,EUR,DTN,
0406902300,01,151,EUR,DTN,
0406902500,01,151,EUR,DTN,
0406902900,01,151,EUR,DTN,
0406903200,01,151,EUR,DTN,
0406903500,01,151,EUR,DTN,
0406903700,01,151,EUR,DTN,
0406903900,01,151,EUR,DTN,
0406905000,01,151,EUR,DTN,
0406906100,01,188.2,EUR,DTN,
0406906300,01,188.2,EUR,DTN,
0406906900,01,188.2,EUR,DTN,
0406907300,01,151,EUR,DTN,
0406907400,01,151,EUR,DTN,
0406907500,01,151,EUR,DTN,
0406907600,01,151,EUR,DTN,
0406907800,01,151,EUR,DTN,
0406907900,01,151,EUR,DTN,
0406908100,01,151,EUR,DTN,
0406908200,01,151,EUR,DTN,
0406908400,01,151,EUR,DTN,
0406908500,01,151,EUR,DTN,
0406908600,01,151,EUR,DTN,
0406908900,01,151,EUR,DTN,
0406909200,01,151,EUR,DTN,
0406909300,01,185.2,EUR,DTN,
0406909900,01,221.2,EUR,DTN,
0708200000,01,10.4,,,
0708200000,15,1.6,EUR,DTN,
0803901000,01,117,EUR,TNE,
0803909000,01,16,,,
0905000000,01,6,,,
0905000000,01,6,,,
0907000000,01,8,,,
0907000000,01,8,,,
1006400000,01,65,EUR,TNE,
1511101000,01,0,,,
1511109000,01,3.8,,,
1513111000,01,2.5,,,
1513119100,01,12.8,,,
1513119900,01,6.4,,,
1513211000,01,3.2,,,
1513213000,01,12.8,,,
1513219000,01,6.4,,,
1601001000,01,15.4,,,
1601009100,01,149.4,EUR,DTN,E
1601009900,01,100.5,EUR,DTN,E
1602100000,01,16.6,,,
1602209000,01,16,,,
1602310000,01,1024,EUR,TNE,
1602310000,01,1024,EUR,TNE,
1602310000,01,1024,EUR,TNE,
1602321100,01,2765,EUR,TNE,
1602321900,01,1024,EUR,TNE,
1602323000,01,2765,EUR,TNE,
1602329000,01,2765,EUR,TNE,
1602392100,01,2765,EUR,TNE,
1602392900,01,2765,EUR,TNE,
1602398500,01,2765,EUR,TNE,
1602501000,01,303.4,EUR,DTN,
1602509500,01,16.6,,,
1602901000,01,16.6,,,
1602906100,01,303.4,EUR,DTN,
1602906900,01,16.6,,,
1602909100,01,12.8,,,
1602909500,01,16.6,,,
1602909900,01,16.6,,,
1604110000,01,5.5,,,
1604142100,01,24,,,
1604142600,01,24,,,
1604142800,01,24,,,
1604143100,01,24,,,
1604143600,01,24,,,
1604143800,01,24,,,
1604144100,01,24,,,
1604144600,01,24,,,
1604144800,01,24,,,
1604149000,01,25,,,
1604151100,01,25,,,
1604151900,01,25,,,
1604159000,01,20,,,
