SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3539429,[710] Import control - CITES,0101210000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539430,[710] Import control - CITES,0101299000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539431,[710] Import control - CITES,0101300000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539432,[710] Import control - CITES,0102310000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539433,[710] Import control - CITES,0102399000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539434,[710] Import control - CITES,0102902000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539435,[710] Import control - CITES,0102909900,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539436,[710] Import control - CITES,0103100000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539437,[710] Import control - CITES,0103919000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539438,[710] Import control - CITES,0103929000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539439,[710] Import control - CITES,0104101000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539440,[710] Import control - CITES,0104103000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539441,[710] Import control - CITES,0104108000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539442,[710] Import control - CITES,0104201000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539443,[710] Import control - CITES,0104209000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539444,[710] Import control - CITES,0106110000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539445,[710] Import control - CITES,0106120000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539446,[710] Import control - CITES,0106130000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539447,[710] Import control - CITES,0106149000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
3539448,[710] Import control - CITES,0106190000,,04/02/2017,,,Condition [Y1] Other conditions : Document [C] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD370: (Conditions) If the product is mentioned in the list annexed to Regulation (EC) No 338/97 and its last amendments, an import authorization must be presented."
