SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3468501,[478] Export authorization (Dual use),4009210000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU414: (Dual use goods) Goods 0B002e from the dual use list. | DU577: (Dual use goods) Goods 2B350h from the dual use list."
3468502,[478] Export authorization (Dual use),4009220000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU414: (Dual use goods) Goods 0B002e from the dual use list. | DU577: (Dual use goods) Goods 2B350h from the dual use list."
3468504,[478] Export authorization (Dual use),4009410000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU414: (Dual use goods) Goods 0B002e from the dual use list. | DU577: (Dual use goods) Goods 2B350h from the dual use list."
3468503,[478] Export authorization (Dual use),4009420000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU414: (Dual use goods) Goods 0B002e from the dual use list. | DU577: (Dual use goods) Goods 2B350h from the dual use list."
3482420,[478] Export authorization (Dual use),8457101000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482421,[478] Export authorization (Dual use),8457109000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482422,[478] Export authorization (Dual use),8457200000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482423,[478] Export authorization (Dual use),8457301000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482431,[478] Export authorization (Dual use),8458112000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482432,[478] Export authorization (Dual use),8458114100,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482433,[478] Export authorization (Dual use),8458114900,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482434,[478] Export authorization (Dual use),8458118000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482435,[478] Export authorization (Dual use),8458912000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482436,[478] Export authorization (Dual use),8458918000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482424,[478] Export authorization (Dual use),8459100000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU120: (Dual use goods) Goods 2B001f from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482425,[478] Export authorization (Dual use),8464900000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU123: (Dual use goods) Goods 2B004 from the dual use list. | DU138: (Dual use goods) Goods 2B104 from the dual use list. | DU142: (Dual use goods) Goods 2B204 from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482426,[478] Export authorization (Dual use),8466300000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU117: (Dual use goods) Goods 2B001c from the dual use list. | DU118: (Dual use goods) Goods 2B001d from the dual use list. | DU119: (Dual use goods) Goods 2B001e from the dual use list. | DU120: (Dual use goods) Goods 2B001f from the dual use list. | DU298: (Dual use goods) Goods 7B103 from the dual use list. | DU366: (Dual use goods) Goods 9B115 from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
3482427,[478] Export authorization (Dual use),8466912000,,25/12/2015,,,Condition [Y1] Other conditions : Document [X] Action [29] Import/export allowed after control : ||Condition [Y2] Other conditions : Document [Y] Action [29] Import/export allowed after control : ||Condition [Y3] Other conditions : Action [09] Import/export not allowed after control :,"CD464: (Conditions) If the goods declared are described in footnote ""DU"" linked to the measure, an export authorisation must be presented according to Regulation (EC) 428/2009 and its amendments. | DU115: (Dual use goods) Goods 2B001a from the dual use list. | DU116: (Dual use goods) Goods 2B001b from the dual use list. | DU117: (Dual use goods) Goods 2B001c from the dual use list. | DU118: (Dual use goods) Goods 2B001d from the dual use list. | DU119: (Dual use goods) Goods 2B001e from the dual use list. | DU120: (Dual use goods) Goods 2B001f from the dual use list. | DU565: (Dual use goods) Goods 2B201a from the dual use list. | DU566: (Dual use goods) Goods 2B201b from the dual use list. | DU702: (Dual use goods) Goods 2B201c from the dual use list."
