SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3645532,[489] Representative price,0207121000,,30/07/2018,,[01] + 108.60 EUR / 100kg,,
3645536,[489] Representative price,0207129000,,30/07/2018,,[01] + 225.00 EUR / 100kg,,
3645533,[489] Representative price,0207129000,,30/07/2018,,[01] + 139.40 EUR / 100kg,,
3645534,[489] Representative price,0207141000,,30/07/2018,,[01] + 263.50 EUR / 100kg,,
3645540,[489] Representative price,0207141000,,30/07/2018,,[01] + 334.80 EUR / 100kg,,
3645542,[489] Representative price,0207141000,,30/07/2018,,[01] + 255.30 EUR / 100kg,,
3645537,[489] Representative price,0207141000,,30/07/2018,,[01] + 249.10 EUR / 100kg,,
3645538,[489] Representative price,0207271000,,30/07/2018,,[01] + 305.00 EUR / 100kg,,
3645541,[489] Representative price,0207271000,,30/07/2018,,[01] + 321.90 EUR / 100kg,,
3645535,[489] Representative price,0408918000,,30/07/2018,,[01] + 242.10 EUR / 100kg,,
3645539,[489] Representative price,1602321100,,30/07/2018,,[01] + 237.50 EUR / 100kg,,
3645543,[651] Security based on representative price,0207121000,,30/07/2018,,[01] 0.00%,,
3645547,[651] Security based on representative price,0207129000,,30/07/2018,,[01] 0.00%,,
3645544,[651] Security based on representative price,0207129000,,30/07/2018,,[01] 0.00%,,
3645545,[651] Security based on representative price,0207141000,,30/07/2018,,[01] + 11.00 EUR / 100kg,,
3645553,[651] Security based on representative price,0207141000,,30/07/2018,,[01] + 13.00 EUR / 100kg,,
3645551,[651] Security based on representative price,0207141000,,30/07/2018,,[01] 0.00%,,
3645548,[651] Security based on representative price,0207141000,,30/07/2018,,[01] + 15.00 EUR / 100kg,,
3645552,[651] Security based on representative price,0207271000,,30/07/2018,,[01] 0.00%,,
3645549,[651] Security based on representative price,0207271000,,30/07/2018,,[01] 0.00%,,
3645546,[651] Security based on representative price,0408918000,,30/07/2018,,[01] + 1.00 EUR / 100kg,,
3645550,[651] Security based on representative price,1602321100,,30/07/2018,,[01] + 15.00 EUR / 100kg,,
3645554,[652] Additional duty based on cif price,0207121000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 88.92 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 59.28 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 39.52 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 24.70 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645558,[652] Additional duty based on cif price,0207129000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 118.08 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 78.72 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 52.48 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 32.80 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645555,[652] Additional duty based on cif price,0207129000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 118.08 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 78.72 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 52.48 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 32.80 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645556,[652] Additional duty based on cif price,0207141000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 300.15 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 200.10 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 133.40 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 83.38 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645562,[652] Additional duty based on cif price,0207141000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 300.15 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 200.10 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 133.40 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 83.38 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645564,[652] Additional duty based on cif price,0207141000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 300.15 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 200.10 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 133.40 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 83.38 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645559,[652] Additional duty based on cif price,0207141000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 300.15 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 200.10 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 133.40 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 83.38 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645560,[652] Additional duty based on cif price,0207271000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 296.91 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 197.94 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 131.96 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 82.47 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
3645563,[652] Additional duty based on cif price,0207271000,,30/07/2018,,,Condition [L1] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 296.91 Hectokilogram||Condition [L2] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 197.94 Hectokilogram||Condition [L3] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 131.96 Hectokilogram||Condition [L4] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 82.47 Hectokilogram||Condition [L5] CIF price must be higher than the minimum price (see components) : Action [01] Apply the amount of the action (see components) : Requirement - 0.00 Hectokilogram,
