SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3608603,[552] Definitive anti-dumping duty,7304110010,[A741] Joint Stock Company Chelyabinsk Tube Rolling Plant and Joint Stock Company Pervouralsky Novotrubny Works,17/11/2017,,[01] + 24.10%,,
3608605,[552] Definitive anti-dumping duty,7304110010,[A999] Other,17/11/2017,,[01] + 35.80%,,
3608612,[552] Definitive anti-dumping duty,7304110010,[A742] OJSC Dnepropetrovsk Tube Works,17/11/2017,,[01] + 12.30%,,
3608615,[552] Definitive anti-dumping duty,7304110010,[A999] Other,17/11/2017,,[01] + 25.70%,,
3608614,[552] Definitive anti-dumping duty,7304110010,[A744] CJSC Nikopol Steel Pipe Plant Yutist,17/11/2017,,[01] + 25.70%,,
3264775,[552] Definitive anti-dumping duty,7304191020,[A744] CJSC Nikopol Steel Pipe Plant Yutist,05/07/2012,,[01] + 25.70%,,
3264715,[552] Definitive anti-dumping duty,7304191020,[A741] Joint Stock Company Chelyabinsk Tube Rolling Plant and Joint Stock Company Pervouralsky Novotrubny Works,05/07/2012,,[01] + 24.10%,,
3264760,[552] Definitive anti-dumping duty,7304191020,[A742] OJSC Dnepropetrovsk Tube Works,05/07/2012,,[01] + 12.30%,,
3264790,[552] Definitive anti-dumping duty,7304191020,[A999] Other,05/07/2012,,[01] + 25.70%,,
3264745,[552] Definitive anti-dumping duty,7304191020,[A999] Other,05/07/2012,,[01] + 35.80%,,
3264716,[552] Definitive anti-dumping duty,7304193020,[A741] Joint Stock Company Chelyabinsk Tube Rolling Plant and Joint Stock Company Pervouralsky Novotrubny Works,05/07/2012,,[01] + 24.10%,,
3264746,[552] Definitive anti-dumping duty,7304193020,[A999] Other,05/07/2012,,[01] + 35.80%,,
3264776,[552] Definitive anti-dumping duty,7304193020,[A744] CJSC Nikopol Steel Pipe Plant Yutist,05/07/2012,,[01] + 25.70%,,
3264791,[552] Definitive anti-dumping duty,7304193020,[A999] Other,05/07/2012,,[01] + 25.70%,,
