SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3455190,[746] Import control on seal products,0208402000,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455228,[746] Import control on seal products,0210929100,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455229,[746] Import control on seal products,0210929200,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455230,[746] Import control on seal products,0210929900,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455235,[746] Import control on seal products,0210993900,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455231,[746] Import control on seal products,0210998590,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455236,[746] Import control on seal products,0210999000,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455069,[746] Import control on seal products,0506000000,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455070,[746] Import control on seal products,0507100000,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455071,[746] Import control on seal products,0507900000,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
3455072,[746] Import control on seal products,0510000000,,18/10/2015,,,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Document [C] Action [29] Import/export allowed after control : ||Condition [B4] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B5] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,CD603: (Conditions) Seal products may only be placed on the market when they are accompanied by an attesting document or a written notification of import and a document giving evidence where the products were acquired (Commission Implementing Regulation (EU) 2015/1850 (OJ L 271)).
