SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3136787,[278] Export prohibition,3209000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3136788,[278] Export prohibition,3210000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200160,[278] Export prohibition,3212900000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3518773,[278] Export prohibition,3824997000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2017,,,,
3137679,[278] Export prohibition,3921110000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137680,[278] Export prohibition,3921120000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137681,[278] Export prohibition,3921131000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137682,[278] Export prohibition,3921139000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137683,[278] Export prohibition,3921140000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137684,[278] Export prohibition,3921190000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137685,[278] Export prohibition,8415000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137686,[278] Export prohibition,8418000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137687,[278] Export prohibition,8419600000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137688,[278] Export prohibition,8451100000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137689,[278] Export prohibition,8476210000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137690,[278] Export prohibition,8476810000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200216,[278] Export prohibition,8476900000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137691,[278] Export prohibition,8477801100,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137692,[278] Export prohibition,8477801900,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137693,[278] Export prohibition,8601000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200221,[278] Export prohibition,8602000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137694,[278] Export prohibition,8603000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137695,[278] Export prohibition,8604000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137696,[278] Export prohibition,8605000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137697,[278] Export prohibition,8606000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200226,[278] Export prohibition,8607000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137698,[278] Export prohibition,8609009000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137699,[278] Export prohibition,8701000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137700,[278] Export prohibition,8702000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137701,[278] Export prohibition,8703000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137702,[278] Export prohibition,8704000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137703,[278] Export prohibition,8705000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137704,[278] Export prohibition,8708000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137705,[278] Export prohibition,8709000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200317,[278] Export prohibition,8716000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137167,[278] Export prohibition,8901000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137168,[278] Export prohibition,8902000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200377,[278] Export prohibition,8903910000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200379,[278] Export prohibition,8903920000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137170,[278] Export prohibition,8904000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3200381,[278] Export prohibition,8905000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3137171,[278] Export prohibition,8906100000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
3136496,[475] Restriction on entry into free circulation,2845900000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD591: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, an import authorisation is required in compliance with Article 15 of Regulation (EC) Num. 1005/2009 (O.J. L 286) | OZ005: (Ozone-depleting substances) Deuterated or otherwise radioactively market ozone depleting substances to be used as laboratory chemicals"
3136506,[475] Restriction on entry into free circulation,2903140000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3442987,[475] Restriction on entry into free circulation,2903190010,,01/01/2016,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3136508,[475] Restriction on entry into free circulation,2903391100,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222791,[475] Restriction on entry into free circulation,2903710000,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222792,[475] Restriction on entry into free circulation,2903720000,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222793,[475] Restriction on entry into free circulation,2903730000,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222794,[475] Restriction on entry into free circulation,2903740000,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3274932,[475] Restriction on entry into free circulation,2903750000,,10/10/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222809,[475] Restriction on entry into free circulation,2903760000,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3445231,[475] Restriction on entry into free circulation,2903776000,,01/01/2016,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222799,[475] Restriction on entry into free circulation,2903779015,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222800,[475] Restriction on entry into free circulation,2903779020,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222801,[475] Restriction on entry into free circulation,2903779025,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222802,[475] Restriction on entry into free circulation,2903779030,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222803,[475] Restriction on entry into free circulation,2903779035,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222804,[475] Restriction on entry into free circulation,2903779040,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222805,[475] Restriction on entry into free circulation,2903779045,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222806,[475] Restriction on entry into free circulation,2903779050,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3222807,[475] Restriction on entry into free circulation,2903779055,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3258305,[475] Restriction on entry into free circulation,2903779060,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3224118,[475] Restriction on entry into free circulation,2903780000,,01/01/2012,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD594: (Conditions) If the declared goods are described in the ""OZ"" footnotes linked to the measure, import/export is prohibited except when goods are to be used as feedstock or for laboratory and analytical uses | OZ008: (Ozone-depleting substances) Dibromodifuoromethane (aka halon-1202, CAS 75-61-6)"
3460741,[475] Restriction on entry into free circulation,2903793020,,01/01/2016,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3460742,[475] Restriction on entry into free circulation,2903793090,,01/01/2016,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [24] Entry into free circulation allowed : ||Condition [B2] Presentation of a certificate/licence/document : Document [Y] Action [24] Entry into free circulation allowed : ||Condition [B3] Presentation of a certificate/licence/document : Action [04] The entry into free circulation is not allowed :,"CD584: (Conditions) The release for free circulation in the Community shall be subject to the presentation of an import licence, in accordance with Article 15 of Regulation (EC) 1005/2009 (OJ L 286). | OZ010: (Ozone-depleting substances) Substances listed in Annex I of Regulation (EC) No 1005/2009 | TM115: (Taric Measure) Trade (import/export) with a country not party to the Montreal Protocol may only be authorised in accordance with Article 20 of Reg. (EC) 1005/2009."
3136699,[475] Restriction on entry into free circulation,3004320000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ006: (Ozone-depleting substances) Metered dose inhalers (e.g. asthma sprays) using ozone depleting substances as propellants, put up in forms or in packings of a kind sold by retail"
3136701,[475] Restriction on entry into free circulation,3004390000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ006: (Ozone-depleting substances) Metered dose inhalers (e.g. asthma sprays) using ozone depleting substances as propellants, put up in forms or in packings of a kind sold by retail"
3136791,[475] Restriction on entry into free circulation,3004900000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ006: (Ozone-depleting substances) Metered dose inhalers (e.g. asthma sprays) using ozone depleting substances as propellants, put up in forms or in packings of a kind sold by retail"
3136777,[475] Restriction on entry into free circulation,3208000000,[4999] Other,01/01/2010,,,,
3136779,[475] Restriction on entry into free circulation,3209000000,[4999] Other,01/01/2010,,,,
3136780,[475] Restriction on entry into free circulation,3210000000,[4999] Other,01/01/2010,,,,
3200161,[475] Restriction on entry into free circulation,3212900000,[4999] Other,01/01/2010,,,,
3136792,[475] Restriction on entry into free circulation,3403110000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ007: (Ozone-depleting substances) Goods containing or relying on ozone depleting substances"
3136793,[475] Restriction on entry into free circulation,3403910000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ007: (Ozone-depleting substances) Goods containing or relying on ozone depleting substances"
3136823,[475] Restriction on entry into free circulation,3808919000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ009: (Ozone-depleting substances) Goods containing methyl bromide"
3136824,[475] Restriction on entry into free circulation,3808991000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ009: (Ozone-depleting substances) Goods containing methyl bromide"
3136825,[475] Restriction on entry into free circulation,3808999000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD593: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, import is prohibited. | OZ009: (Ozone-depleting substances) Goods containing methyl bromide"
3136834,[475] Restriction on entry into free circulation,3813000000,,01/01/2010,,,Condition [B1] Presentation of a certificate/licence/document : Document [L] Action [29] Import/export allowed after control : ||Condition [B2] Presentation of a certificate/licence/document : Document [Y] Action [29] Import/export allowed after control : ||Condition [B3] Presentation of a certificate/licence/document : Action [09] Import/export not allowed after control :,"CD591: (Conditions) If the declared goods are described in the “OZ” footnotes linked to the measure, an import authorisation is required in compliance with Article 15 of Regulation (EC) Num. 1005/2009 (O.J. L 286) | OZ007: (Ozone-depleting substances) Goods containing or relying on ozone depleting substances"
