SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3136747,[277] Import prohibition,3208000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136749,[277] Import prohibition,3209000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136750,[277] Import prohibition,3210000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3200159,[277] Import prohibition,3212900000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3518772,[277] Import prohibition,3824997000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2017,,,,
3136851,[277] Import prohibition,3921110000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136852,[277] Import prohibition,3921120000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136853,[277] Import prohibition,3921131000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136854,[277] Import prohibition,3921139000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136855,[277] Import prohibition,3921140000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136856,[277] Import prohibition,3921190000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136868,[277] Import prohibition,8415000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136869,[277] Import prohibition,8418000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136870,[277] Import prohibition,8419600000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136877,[277] Import prohibition,8451100000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136878,[277] Import prohibition,8476210000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136879,[277] Import prohibition,8476810000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3200215,[277] Import prohibition,8476900000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136880,[277] Import prohibition,8477801100,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136881,[277] Import prohibition,8477801900,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136891,[277] Import prohibition,8601000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3200220,[277] Import prohibition,8602000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136892,[277] Import prohibition,8603000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136893,[277] Import prohibition,8604000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136894,[277] Import prohibition,8605000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136895,[277] Import prohibition,8606000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3200225,[277] Import prohibition,8607000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136897,[277] Import prohibition,8609009000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136898,[277] Import prohibition,8701000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136899,[277] Import prohibition,8702000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136900,[277] Import prohibition,8703000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136901,[277] Import prohibition,8704000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136902,[277] Import prohibition,8705000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136903,[277] Import prohibition,8708000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136904,[277] Import prohibition,8709000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3200316,[277] Import prohibition,8716000000,"[4115] Goods, excluding waste, with ozone depleting substances or relying on ozone depleting substances",01/01/2010,,,,
3136933,[277] Import prohibition,8901000000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3136934,[277] Import prohibition,8902000000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3200370,[277] Import prohibition,8903910000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3200372,[277] Import prohibition,8903920000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3136936,[277] Import prohibition,8904000000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3200375,[277] Import prohibition,8905000000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3136937,[277] Import prohibition,8906100000,"[4118] Goods, excluding waste, with ozone depleting substances others than halons.",01/01/2010,,,,
3136786,[278] Export prohibition,3208000000,"[4116] Waste with ODS, or relying on ozone depleting substances",01/01/2010,,,,
