SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3625199,[142] Tariff preference,2905430000,,01/05/2018,,[01] + 7.80% | [04] + 121.92 EUR + % or amount / 100kg,Condition [B1] Presentation of a certificate/licence/document : Document [Y] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD303: (Conditions) The relief from or reduction of customs duties shall be subject to the specific request expressed by the declarant in box 44 ""Additional information/Documents produced/Certificates and authorisations"", of the Single Administrative Document (SAD)"
2340998,[672] Amount of additional duty on sugar,,[7001] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2340999,[672] Amount of additional duty on sugar,,[7002] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341000,[672] Amount of additional duty on sugar,,[7003] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341001,[672] Amount of additional duty on sugar,,[7004] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341002,[672] Amount of additional duty on sugar,,[7005] None,01/01/2002,,[01] 0.00%,,
2341004,[672] Amount of additional duty on sugar,,[7007] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341006,[672] Amount of additional duty on sugar,,[7008] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341007,[672] Amount of additional duty on sugar,,[7009] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341008,[672] Amount of additional duty on sugar,,[7010] None,01/01/2002,,[01] 0.00%,,
2341009,[672] Amount of additional duty on sugar,,[7011] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341010,[672] Amount of additional duty on sugar,,[7012] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341012,[672] Amount of additional duty on sugar,,[7013] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341013,[672] Amount of additional duty on sugar,,[7015] None,01/01/2002,,[01] 0.00%,,
2341015,[672] Amount of additional duty on sugar,,[7016] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341016,[672] Amount of additional duty on sugar,,[7017] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341017,[672] Amount of additional duty on sugar,,[7020] None,01/01/2002,,[01] 0.00%,,
2341019,[672] Amount of additional duty on sugar,,[7021] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341020,[672] Amount of additional duty on sugar,,[7022] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341021,[672] Amount of additional duty on sugar,,[7023] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341023,[672] Amount of additional duty on sugar,,[7024] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341025,[672] Amount of additional duty on sugar,,[7025] None,01/01/2002,,[01] 0.00%,,
2341026,[672] Amount of additional duty on sugar,,[7026] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341028,[672] Amount of additional duty on sugar,,[7027] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341031,[672] Amount of additional duty on sugar,,[7029] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341032,[672] Amount of additional duty on sugar,,[7030] None,01/01/2002,,[01] 0.00%,,
2341033,[672] Amount of additional duty on sugar,,[7031] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341035,[672] Amount of additional duty on sugar,,[7032] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341037,[672] Amount of additional duty on sugar,,[7033] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341038,[672] Amount of additional duty on sugar,,[7035] None,01/01/2002,,[01] 0.00%,,
2341040,[672] Amount of additional duty on sugar,,[7036] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341043,[672] Amount of additional duty on sugar,,[7040] None,01/01/2002,,[01] 0.00%,,
2341044,[672] Amount of additional duty on sugar,,[7041] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341046,[672] Amount of additional duty on sugar,,[7042] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341048,[672] Amount of additional duty on sugar,,[7043] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341049,[672] Amount of additional duty on sugar,,[7044] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341050,[672] Amount of additional duty on sugar,,[7045] None,01/01/2002,,[01] 0.00%,,
2341051,[672] Amount of additional duty on sugar,,[7046] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341053,[672] Amount of additional duty on sugar,,[7047] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341054,[672] Amount of additional duty on sugar,,[7048] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341056,[672] Amount of additional duty on sugar,,[7049] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341057,[672] Amount of additional duty on sugar,,[7050] None,01/01/2002,,[01] 0.00%,,
2341058,[672] Amount of additional duty on sugar,,[7051] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341060,[672] Amount of additional duty on sugar,,[7052] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341061,[672] Amount of additional duty on sugar,,[7053] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341063,[672] Amount of additional duty on sugar,,[7055] None,01/01/2002,,[01] 0.00%,,
2341064,[672] Amount of additional duty on sugar,,[7056] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341066,[672] Amount of additional duty on sugar,,[7057] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341067,[672] Amount of additional duty on sugar,,[7060] None,01/01/2002,,[01] 0.00%,,
2341069,[672] Amount of additional duty on sugar,,[7061] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341070,[672] Amount of additional duty on sugar,,[7062] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341072,[672] Amount of additional duty on sugar,,[7063] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341074,[672] Amount of additional duty on sugar,,[7065] None,01/01/2002,,[01] 0.00%,,
2341076,[672] Amount of additional duty on sugar,,[7066] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341077,[672] Amount of additional duty on sugar,,[7067] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341079,[672] Amount of additional duty on sugar,,[7068] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341080,[672] Amount of additional duty on sugar,,[7069] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341081,[672] Amount of additional duty on sugar,,[7070] None,01/01/2002,,[01] 0.00%,,
2341083,[672] Amount of additional duty on sugar,,[7071] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341084,[672] Amount of additional duty on sugar,,[7072] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341085,[672] Amount of additional duty on sugar,,[7073] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341087,[672] Amount of additional duty on sugar,,[7075] None,01/01/2002,,[01] 0.00%,,
2341088,[672] Amount of additional duty on sugar,,[7076] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341089,[672] Amount of additional duty on sugar,,[7077] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341090,[672] Amount of additional duty on sugar,,[7080] None,01/01/2002,,[01] 0.00%,,
2341091,[672] Amount of additional duty on sugar,,[7081] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341092,[672] Amount of additional duty on sugar,,[7082] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
2341093,[672] Amount of additional duty on sugar,,[7083] None,01/01/2002,,[01] + 26.42 EUR / 100kg,,
2341094,[672] Amount of additional duty on sugar,,[7084] None,01/01/2002,,[01] + 37.80 EUR / 100kg,,
2341095,[672] Amount of additional duty on sugar,,[7085] None,01/01/2002,,[01] 0.00%,,
2341096,[672] Amount of additional duty on sugar,,[7086] None,01/01/2002,,[01] + 9.75 EUR / 100kg,,
2341097,[672] Amount of additional duty on sugar,,[7087] None,01/01/2002,,[01] + 18.29 EUR / 100kg,,
