measure_sid,goods_nomenclature_item_id,duty_expression_id,duty_amount,monetary_unit_code,measurement_unit_code,measurement_unit_qualifier_code
5139652,0202201015,01,6.8,,,
5139652,0202201015,04,93.3,EUR,DTN,
5139654,0202201091,01,6.8,,,
5139654,0202201091,04,93.3,EUR,DTN,
5139655,0202201099,01,6.8,,,
5139655,0202201099,04,93.3,EUR,DTN,
5139658,0202203011,01,6.8,,,
5139658,0202203011,04,74.6,EUR,DTN,
5139659,0202203015,01,6.8,,,
5139659,0202203015,04,74.6,EUR,DTN,
5139663,0202203081,01,6.8,,,
5139663,0202203081,04,74.6,EUR,DTN,
5139664,0202203082,01,6.8,,,
5139664,0202203082,04,74.6,EUR,DTN,
5139666,0202203083,01,6.8,,,
5139666,0202203083,04,74.6,EUR,DTN,
5139667,0202203084,01,6.8,,,
5139667,0202203084,04,74.6,EUR,DTN,
5139669,0202203085,01,6.8,,,
5139669,0202203085,04,74.6,EUR,DTN,
5139670,0202203086,01,6.8,,,
5139670,0202203086,04,74.6,EUR,DTN,
5139672,0202203087,01,6.8,,,
5139672,0202203087,04,74.6,EUR,DTN,
5139673,0202203088,01,6.8,,,
5139673,0202203088,04,74.6,EUR,DTN,
5139676,0202205011,01,6.8,,,
5139676,0202205011,04,116.7,EUR,DTN,
5139677,0202205015,01,6.8,,,
5139677,0202205015,04,116.7,EUR,DTN,
5139679,0202205091,01,6.8,,,
5139679,0202205091,04,116.7,EUR,DTN,
5139680,0202205099,01,6.8,,,
5139680,0202205099,04,116.7,EUR,DTN,
5139683,0202209011,01,6.8,,,
5139683,0202209011,04,140,EUR,DTN,
5139684,0202209015,01,6.8,,,
5139684,0202209015,04,140,EUR,DTN,
5139686,0202209091,01,6.8,,,
5139686,0202209091,04,140,EUR,DTN,
5139687,0202209099,01,6.8,,,
5139687,0202209099,04,140,EUR,DTN,
5139691,0202301011,01,6.8,,,
5139691,0202301011,04,116.7,EUR,DTN,
5139692,0202301015,01,6.8,,,
5139692,0202301015,04,116.7,EUR,DTN,
5139696,0202301081,01,6.8,,,
5139696,0202301081,04,116.7,EUR,DTN,
5139697,0202301082,01,6.8,,,
5139697,0202301082,04,116.7,EUR,DTN,
5139699,0202301083,01,6.8,,,
5139699,0202301083,04,116.7,EUR,DTN,
5139700,0202301084,01,6.8,,,
5139700,0202301084,04,116.7,EUR,DTN,
5139702,0202301085,01,6.8,,,
5139702,0202301085,04,116.7,EUR,DTN,
5139703,0202301086,01,6.8,,,
5139703,0202301086,04,116.7,EUR,DTN,
5139705,0202301087,01,6.8,,,
5139705,0202301087,04,116.7,EUR,DTN,
5139706,0202301088,01,6.8,,,
5139706,0202301088,04,116.7,EUR,DTN,
5139709,0202305011,01,6.8,,,
5139709,0202305011,04,116.7,EUR,DTN,
5139710,0202305015,01,6.8,,,
5139710,0202305015,04,116.7,EUR,DTN,
5139714,0202305081,01,6.8,,,
5139714,0202305081,04,116.7,EUR,DTN,
5139715,0202305082,01,6.8,,,
5139715,0202305082,04,116.7,EUR,DTN,
5139717,0202305083,01,6.8,,,
5139717,0202305083,04,116.7,EUR,DTN,
5139718,0202305084,01,6.8,,,
5139718,0202305084,04,116.7,EUR,DTN,
5139720,0202305085,01,6.8,,,
5139720,0202305085,04,116.7,EUR,DTN,
5139721,0202305086,01,6.8,,,
5139721,0202305086,04,116.7,EUR,DTN,
5139723,0202305087,01,6.8,,,
5139723,0202305087,04,116.7,EUR,DTN,
5139724,0202305088,01,6.8,,,
5139724,0202305088,04,116.7,EUR,DTN,
5139727,0202309011,01,6.8,,,
5139727,0202309011,04,160.5,EUR,DTN,
5139728,0202309015,01,6.8,,,
5139728,0202309015,04,160.5,EUR,DTN,
5139733,0202309041,01,6.8,,,
5139733,0202309041,04,160.5,EUR,DTN,
5139734,0202309042,01,6.8,,,
5139734,0202309042,04,160.5,EUR,DTN,
5139736,0202309043,01,6.8,,,
5139736,0202309043,04,160.5,EUR,DTN,
5139737,0202309044,01,6.8,,,
5139737,0202309044,04,160.5,EUR,DTN,
5139739,0202309045,01,6.8,,,
5139739,0202309045,04,160.5,EUR,DTN,
5139740,0202309046,01,6.8,,,
5139740,0202309046,04,160.5,EUR,DTN,
5139742,0202309047,01,6.8,,,
5139742,0202309047,04,160.5,EUR,DTN,
5139743,0202309048,01,6.8,,,
5139743,0202309048,04,160.5,EUR,DTN,
5139746,0202309070,01,6.8,,,
5139746,0202309070,04,160.5,EUR,DTN,
5139747,0202309075,01,6.8,,,
5139747,0202309075,04,160.5,EUR,DTN,
5139748,0202309080,01,6.8,,,
5139748,0202309080,04,160.5,EUR,DTN,
5139749,0202309090,01,6.8,,,
5139749,0202309090,04,160.5,EUR,DTN,
5139753,0203111000,01,7.1,EUR,DTN,
5139754,0203119000,01,0,,,
5139757,0203121100,01,10.2,EUR,DTN,
5139758,0203121900,01,7.9,EUR,DTN,
5139759,0203129000,01,0,,,
5139762,0203191100,01,7.9,EUR,DTN,
5139763,0203191300,01,11.4,EUR,DTN,
5139764,0203191500,01,6.1,EUR,DTN,
5139767,0203195510,01,11.4,EUR,DTN,
5139769,0203195515,01,11.4,EUR,DTN,
5139770,0203195525,01,11.4,EUR,DTN,
5139771,0203195530,01,11.4,EUR,DTN,
5139772,0203195590,01,11.4,EUR,DTN,
5139773,0203195900,01,11.4,EUR,DTN,
5139774,0203199000,01,0,,,
5139777,0203211000,01,7.1,EUR,DTN,
5139778,0203219000,01,0,,,
5139781,0203221100,01,10.2,EUR,DTN,
5139782,0203221900,01,7.9,EUR,DTN,
5139783,0203229000,01,0,,,
5139786,0203291100,01,7.9,EUR,DTN,
5139787,0203291300,01,11.4,EUR,DTN,
5139788,0203291500,01,6.1,EUR,DTN,
5139792,0203295520,01,11.4,EUR,DTN,
5139793,0203295530,01,11.4,EUR,DTN,
5139795,0203295591,01,11.4,EUR,DTN,
5139796,0203295592,01,11.4,EUR,DTN,
5139797,0203295599,01,11.4,EUR,DTN,
5139798,0203295900,01,11.4,EUR,DTN,
5139799,0203299000,01,0,,,
5139802,0204100010,01,12.8,,,
5139802,0204100010,04,171.3,EUR,DTN,
5139803,0204100090,01,12.8,,,
5139803,0204100090,04,171.3,EUR,DTN,
5139806,0204210010,01,12.8,,,
5139806,0204210010,04,171.3,EUR,DTN,
5139807,0204210090,01,12.8,,,
5139807,0204210090,04,171.3,EUR,DTN,
5139810,0204221010,01,12.8,,,
