"098636","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","20586410.00","KGM","3","N","90","","","","","5002"
"098907","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","374650.00","KGM","3","N","90","","","","","CN"
"098215","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","1296770.00","KGM","3","N","90","","","","","EU"
"098640","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","43770.00","KGM","3","N","90","","","","","5002"
"098216","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","6512360.00","KGM","3","N","90","","","","","EU"
"098912","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","3880270.00","KGM","3","N","90","","","","","IN"
"098642","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","1464520.00","KGM","3","N","90","","","","","5002"
"098911","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","13175920.00","KGM","3","N","90","","","","","TR"
"098217","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","10680940.00","KGM","3","N","90","","","","","EU"
"098644","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","1848630.00","KGM","3","N","90","","","","","5002"
"098916","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","31545100.00","KGM","3","N","90","","","","","TR"
"098218","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","30386560.00","KGM","3","N","90","","","","","EU"
"098220","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","2134500.00","KGM","3","N","90","","","","","JP"
"098219","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","2425210.00","KGM","3","N","90","","","","","KR"
"098650","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","4026390.00","KGM","3","N","90","","","","","5002"
"098949","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","4872210.00","KGM","3","N","90","","","","","CN"
"098221","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","19216160.00","KGM","3","N","90","","","","","EU"
"098222","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","5817780.00","KGM","3","N","90","","","","","NO"
"098652","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","6317830.00","KGM","3","N","90","","","","","5002"
"098947","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","7565220.00","KGM","3","N","90","","","","","TR"
"098948","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","11415220.00","KGM","3","N","90","","","","","AE"
"098223","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","6958210.00","KGM","3","N","90","","","","","EU"
"098654","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","595450.00","KGM","3","N","90","","","","","5002"
"098956","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","695200.00","KGM","3","N","90","","","","","RU"
"098224","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","1335720.00","KGM","3","N","90","","","","","TR"
"098962","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","2842060.00","KGM","3","N","90","","","","","CN"
"098225","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","24129230.00","KGM","3","N","90","","","","","EU"
"098656","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","1857010.00","KGM","3","N","90","","","","","5002"
"098227","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","1910410.00","KGM","3","N","90","","","","","ZA"
"098226","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","2510530.00","KGM","3","N","90","","","","","TH"
"098964","122 Non preferential tariff quota","FCFS","2019-04-13","2019-06-30","78","4223530.00","KGM","3","N","90","","","","","TR"

